Player Name,Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money,No Seasons,cluster
Rafa Cabrera Bello,138.0,64.09,293.05,66.38,29.134999999999998,59.36,70.28999999999999,1399,0.0,8.0,0.373,0.6065,0.0165,0.15799999999999997,0.082,4384544,2,5
Retief Goosen,467.0,58.30142857142857,291.35714285714283,63.50857142857143,28.927142857142858,60.0,70.89414285714285,3441,0.0,16.0,0.1325714285714286,0.24571428571428575,-0.19414285714285714,0.1385714285714286,0.16857142857142857,7467814,7,2
Rhein Gibson,58.0,52.45,297.5,68.11,29.96,54.84,72.086,113,0.0,0.0,-0.266,-0.708,-0.067,0.0,-0.376,155578,1,3
Rich Barcelo,70.0,52.8,287.6,61.72,28.97,54.2,71.751,187,0.0,0.0,0.144,-0.52,-1.027,0.228,0.13,188892,1,2
Rich Beem,53.0,63.87,286.1,61.95,29.81,52.89,72.76,78,0.0,0.0,-0.5920000000000001,-1.281,-0.152,-0.257,-0.28,135225,1,1
Richard Johnson,154.0,67.19,276.95000000000005,65.955,29.535,56.769999999999996,71.529,467,0.0,2.0,0.15249999999999994,-0.6685,-0.5385,-0.1645,-0.12049999999999994,890621,2,2
Richard Lee,232.0,65.84333333333333,283.2666666666667,64.92666666666666,28.930000000000003,59.92666666666667,71.083,1203,0.0,4.0,0.3996666666666666,0.02,-0.05933333333333333,-0.337,0.016333333333333335,2087012,3,4
Richy Werenski,179.0,65.49000000000001,291.5,67.195,29.335,58.545,71.178,921,0.0,5.0,-0.0545,-0.1735,0.14,-0.14599999999999996,-0.11299999999999999,1971545,2,3
Rick Lamb,54.0,64.81,298.0,66.89,29.44,54.03,71.97800000000001,269,0.0,1.0,-0.254,-0.8240000000000001,0.6859999999999999,-0.578,-0.6779999999999999,524372,1,3
Rickie Fowler,740.0,61.87888888888889,296.44444444444446,66.55888888888889,28.760000000000005,60.24222222222223,70.03244444444445,11487,3.0,50.0,0.28922222222222227,1.0439999999999998,0.3256666666666666,0.33011111111111113,0.11155555555555556,33436368,9,5
Ricky Barnes,783.0,55.55777777777777,288.5888888888889,65.67444444444443,29.053333333333335,58.146666666666675,71.05911111111112,4401,0.0,17.0,-0.025666666666666667,0.01733333333333331,-0.443,0.36577777777777776,0.11977777777777779,7664393,9,2
Rob Oppenheim,141.0,55.769999999999996,283.2,63.815,29.025,59.555,71.48349999999999,448,0.0,1.0,-0.0005000000000000004,-0.43200000000000005,-0.6890000000000001,0.1555,0.10300000000000001,741446,2,2
Robert Allenby,491.0,60.63714285714286,285.8142857142857,65.99,29.83857142857143,54.449999999999996,71.42357142857144,3010,0.0,11.0,-0.31557142857142856,-0.3322857142857143,-0.18000000000000002,0.3315714285714286,-0.16885714285714284,6252209,7,3
Robert Garrigus,689.0,56.038888888888884,306.81111111111113,66.92777777777778,29.456666666666667,53.925555555555555,70.982,5103,0.0,21.0,-0.3442222222222222,0.132,0.49311111111111106,0.3207777777777778,-0.3363333333333334,11383091,9,3
